0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;0
0;;;;;;;;;;;;;;;;;;;;;;;;Text type;;;;;Language(s) and script(s);;;;;;;;;;;;Lettering format;;;;;;;;;;Filiation;;;;;;Rights;;;;0
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Lines;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Height of text;Width of text;Lines;Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references;Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;0
;;INSPandya00083;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00084;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00085;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00086;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00087;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00088;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00089;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00090;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00091;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00092;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00093;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00094;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
;;INSPandya00095;;;;;;;;;DHARMA;Pandya;CC0;INSPandya00095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DHARMA;CC-BY 4.0;;;
